序号,所属,lp4,建物种类,初始势力,耐久,建设完了,lp18,Counter,X坐标,Y坐标
0,襄平,4,都市,12,7000,○,0,0,174,16
1,北平,4,都市,11,10000,○,0,0,149,20
2,蓟,4,都市,13,7000,○,0,0,122,16
3,南皮,4,都市,7,9000,○,0,0,138,37
4,平原,4,都市,,7000,○,0,0,129,54
5,晋阳,4,都市,20,9000,○,0,0,91,39
6,邺,4,都市,14,12000,○,0,0,109,53
7,临淄,4,都市,16,7000,○,0,0,160,51
8,彭城,4,都市,10,9000,○,0,0,156,77
9,小沛,4,都市,18,6000,○,0,0,136,77
10,寿春,4,都市,40,11000,○,0,0,140,96
11,开封,4,都市,28,7000,○,0,0,120,71
12,陈留,4,都市,17,9000,○,0,0,108,79
13,许昌,4,都市,0,12000,○,0,0,99,92
14,汝南,4,都市,19,7000,○,0,0,113,107
15,洛阳,4,都市,15,16000,○,0,0,79,76
16,宛,4,都市,25,9000,○,0,0,77,92
17,长安,4,都市,29,15000,○,0,0,53,73
18,上庸,4,都市,,5000,○,0,0,54,102
19,安定,4,都市,5,7000,○,0,0,28,55
20,陇西,4,都市,41,7000,○,0,0,10,71
21,武威,4,都市,3,9000,○,0,0,9,41
22,金陵,4,都市,24,13000,○,0,0,162,104
23,吴,4,都市,23,9000,○,0,0,182,109
24,会稽,4,都市,22,7000,○,0,0,184,125
25,庐江,4,都市,8,8000,○,0,0,146,118
26,柴桑,4,都市,2,9000,○,0,0,126,133
27,江夏,4,都市,,9000,○,0,0,115,121
28,新野,4,都市,,5000,○,0,0,87,109
29,襄阳,4,都市,6,13000,○,0,0,77,117
30,江陵,4,都市,1,10000,○,0,0,82,137
31,长沙,4,都市,31,9000,○,0,0,108,164
32,武陵,4,都市,32,5000,○,0,0,69,155
33,桂阳,4,都市,33,5000,○,0,0,99,188
34,零陵,4,都市,34,7000,○,0,0,70,185
35,永安,4,都市,,9000,○,0,0,46,128
36,汉中,4,都市,9,9000,○,0,0,27,89
37,梓潼,4,都市,38,7000,○,0,0,16,110
38,江州,4,都市,39,7000,○,0,0,30,147
39,成都,4,都市,4,12000,○,0,0,10,132
40,建寧,4,都市,27,7000,○,0,0,27,174
41,雲南,4,都市,26,9000,○,0,0,5,191
42,壶关,4,关所,20,12000,○,0,0,92,57
43,虎牢关,4,关所,15,16000,○,0,0,90,77
44,潼关,4,关所,29,15000,○,0,0,61,77
45,函谷关,4,关所,29,15000,○,0,0,68,78
46,武关,4,关所,29,12000,○,0,0,68,86
47,阳平关,4,关所,9,15000,○,0,0,27,83
48,剑阁,4,关所,38,15000,○,0,0,14,97
49,葭萌关,4,关所,38,12000,○,0,0,23,102
50,涪水关,4,关所,4,12000,○,0,0,11,119
51,绵竹关,4,关所,4,12000,○,0,0,8,125
52,安平港,4,港,12,3000,○,0,0,168,28
53,高唐港,4,港,,3000,○,0,0,134,57
54,西河港,4,港,20,3000,○,0,0,63,49
55,白马港,4,港,14,3000,○,0,0,110,63
56,昌阳港,4,港,16,3000,○,0,0,176,48
57,临济港,4,港,16,3000,○,0,0,145,54
58,海陵港,4,港,10,3000,○,0,0,166,78
59,江都港,4,港,10,3000,○,0,0,173,87
60,濡须港,4,港,40,5000,○,0,0,148,110
61,顿丘港,4,港,28,3000,○,0,0,123,66
62,官渡港,4,港,17,3000,○,0,0,101,72
63,孟津港,4,港,15,4000,○,0,0,79,70
64,解县港,4,港,15,4000,○,0,0,65,65
65,新豐港,4,港,29,3000,○,0,0,64,74
66,夏阳港,4,港,29,3000,○,0,0,59,55
67,房陵港,4,港,,3000,○,0,0,59,105
68,芜湖港,4,港,24,4000,○,0,0,163,109
69,虎林港,4,港,24,4000,○,0,0,161,122
70,曲阿港,4,港,23,3000,○,0,0,177,101
71,句章港,4,港,22,3000,○,0,0,187,118
72,皖口港,4,港,8,4000,○,0,0,143,122
73,九江港,4,港,2,3000,○,0,0,132,129
74,陆口港,4,港,2,3000,○,0,0,116,137
75,鄱阳港,4,港,2,3000,○,0,0,146,142
76,卢陵港,4,港,2,3000,○,0,0,138,167
77,夏口港,4,港,,5000,○,0,0,108,123
78,湖阳港,4,港,,3000,○,0,0,81,109
79,中庐港,4,港,6,4000,○,0,0,70,110
80,乌林港,4,港,1,4000,○,0,0,99,133
81,汉津港,4,港,1,4000,○,0,0,89,125
82,江津港,4,港,1,4000,○,0,0,73,137
83,罗县港,4,港,31,3000,○,0,0,100,148
84,洞庭港,4,港,32,3000,○,0,0,79,155
85,公安港,4,港,32,3000,○,0,0,74,146
86,巫县港,4,港,,3000,○,0,0,54,130
87,,4,堤防,,800,○,0,0,114,58
88,,1,堤防,,800,○,0,0,145,90
89,,0,堤防,,800,○,0,0,155,71
90,,2,堤防,,800,○,0,0,182,16
